cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
1,1,5,35,2,0.00205379200633615,0,aj,FA
0,2,3,35,2,0.00408783298917115,1,aj,HI
0,2,4,35,2,0.00173058299697004,1,aj,HI
0,2,5,23,1,0.00146916598896496,0,aj,MI
1,1,2,11,1,0.00246187497396022,1,aj,CR
0,2,2,11,2,0.00190204198588617,1,aj,HI
0,2,5,11,1,0.00127054200856946,0,aj,MI
0,2,6,11,1,0.00130262499442324,0,aj,MI
0,1,3,23,1,0.00142912499723025,1,aj,CR
0,2,1,23,1,0.00135554201551713,0,aj,MI
0,2,3,23,2,0.00177608299418353,1,aj,HI
0,2,1,11,1,0.00126024999190122,0,aj,MI
0,1,1,23,1,0.00119954202091321,1,aj,CR
1,1,4,23,2,0.0012926250055898,0,aj,FA
1,1,4,11,2,0.00116516699199565,0,aj,FA
1,1,2,11,1,0.00117104197852314,1,aj,CR
1,2,1,11,1,0.00119358400115743,0,aj,MI
0,2,1,35,2,0.00115416699554771,1,aj,HI
0,2,6,23,1,0.0011371249856893,0,aj,MI
0,1,2,35,1,0.0011433330073487,1,aj,CR
1,1,5,11,1,0.00118291701073758,1,aj,CR
0,1,6,11,1,0.00116833302308805,1,aj,CR
1,2,1,11,1,0.00133641599677503,0,aj,MI
0,1,2,11,1,0.00116333298501559,1,aj,CR
0,1,1,35,1,0.00117779200081713,1,aj,CR
0,2,2,35,2,0.00131266700918786,1,aj,HI
0,2,2,11,1,0.00117950001731515,0,aj,MI
1,2,4,11,2,0.0014672499964945,1,aj,HI
1,2,5,23,1,0.00116295801126398,0,aj,MI
0,1,6,11,1,0.00119291699957103,1,aj,CR
1,2,5,23,1,0.00117762500303797,0,aj,MI
1,2,3,35,2,0.00129424998885952,1,aj,HI
1,2,5,35,2,0.00120183400576934,1,aj,HI
1,1,3,11,2,0.00118191700312309,0,aj,FA
0,1,4,23,2,0.00143724997178651,0,aj,FA
0,2,4,23,2,0.00124754098942503,1,aj,HI
1,1,6,35,2,0.00120766699546948,0,aj,FA
0,2,5,35,2,0.00117000000318512,1,aj,HI
0,2,5,23,2,0.00117137501365505,1,aj,HI
0,2,4,35,2,0.00119791700853966,1,aj,HI
1,2,3,11,2,0.00113379201502539,1,aj,HI
1,1,2,35,2,0.00116170800174586,0,aj,FA
0,1,2,23,1,0.00117008399683982,1,aj,CR
1,1,3,35,1,0.00121600000420585,1,aj,CR
1,1,2,11,1,0.00116354099009186,1,aj,CR
1,2,6,35,2,0.00122662499779835,1,aj,HI
0,1,2,23,1,0.00116883299779147,1,aj,CR
1,2,5,11,1,0.00146075000520796,0,aj,MI
1,2,2,35,2,0.00115370799903758,1,aj,HI
1,1,2,23,2,0.00117237499216571,0,aj,FA
1,2,6,11,2,0.00118708400987089,1,aj,HI
0,2,3,35,2,0.00120541601791047,1,aj,HI
0,1,1,35,1,0.00116604098002426,1,aj,CR
0,1,2,35,1,0.00117608299478889,1,aj,CR
0,2,1,11,1,0.00115733299753629,0,aj,MI
0,1,1,23,1,0.00116587500087917,1,aj,CR
0,1,2,35,1,0.00115816600737162,1,aj,CR
1,2,6,35,2,0.00115962498239242,1,aj,HI
1,2,3,23,2,0.0012955830025021,1,aj,HI
1,2,6,11,2,0.00122029101476073,1,aj,HI
1,2,1,35,2,0.00119066698243842,1,aj,HI
0,2,6,23,1,0.00115520798135549,0,aj,MI
1,2,3,23,1,0.00130366600933485,0,aj,MI
1,1,5,35,1,0.00122116599231958,1,aj,CR
0,2,5,35,2,0.00116799998795614,1,aj,HI
0,1,3,11,1,0.00116149999666959,1,aj,CR
0,1,5,23,1,0.00115229102084413,1,aj,CR
1,1,1,23,1,0.00121599997510202,1,aj,CR
1,2,5,23,2,0.0011681669857353,1,aj,HI
1,1,6,11,1,0.00115020899102092,1,aj,CR
0,2,5,11,1,0.00113795799552463,0,aj,MI
1,1,1,23,1,0.00115416699554771,1,aj,CR
0,2,4,11,2,0.0012148329988122,1,aj,HI
0,1,5,11,2,0.00117345800390467,0,aj,FA
1,2,2,11,1,0.00114224999560975,0,aj,MI
0,1,2,11,1,0.00114654199569486,1,aj,CR
1,2,3,11,1,0.00118016600026749,0,aj,MI
1,2,6,23,1,0.00115058300434612,0,aj,MI
0,1,3,35,1,0.00115574998199008,1,aj,CR
0,2,4,11,2,0.00119004200678319,1,aj,HI
1,1,3,11,1,0.00118983301217668,1,aj,CR
0,1,5,35,2,0.00115733299753629,0,aj,FA
1,2,2,11,1,0.00149224998313002,0,aj,MI
0,1,6,23,2,0.00121429198770784,0,aj,FA
1,1,2,35,1,0.00115712502156384,1,aj,CR
0,1,6,35,1,0.00122408400056884,1,aj,CR
0,2,4,11,1,0.00116320900269784,0,aj,MI
1,2,1,23,1,0.00124775001313537,0,aj,MI
0,1,1,11,1,0.00113441699068062,1,aj,CR
0,2,1,23,1,0.0011441659880802,0,aj,MI
0,1,3,11,1,0.0011403750104364,1,aj,CR
0,1,6,23,1,0.00121291700634174,1,aj,CR
1,2,2,23,2,0.00115204197936691,1,aj,HI
1,1,5,23,1,0.00134933300432749,1,aj,CR
1,1,2,23,2,0.00117395800771192,0,aj,FA
1,1,4,35,1,0.00118220900185406,1,aj,CR
1,1,4,23,2,0.00131183298071846,0,aj,FA
1,1,5,35,1,0.00115995801752433,1,aj,CR
1,1,1,35,1,0.00115429100696929,1,aj,CR
0,2,6,35,2,0.00130516701028682,1,aj,HI
0,2,3,23,2,0.00120491601410322,1,aj,HI
1,2,5,35,2,0.00145445801899768,1,aj,HI
0,1,3,23,1,0.00116145799984224,1,aj,CR
0,1,5,23,2,0.00118416699115187,0,aj,FA
1,1,5,11,1,0.00116083299508318,1,aj,CR
0,1,4,35,1,0.00117404098273255,1,aj,CR
1,1,4,11,1,0.00133108298177831,1,aj,CR
0,1,4,23,1,0.00114679100806825,1,aj,CR
1,2,1,23,1,0.00114916698657908,0,aj,MI
1,2,3,35,2,0.00141983397770673,1,aj,HI
1,1,6,23,1,0.00117620898527093,1,aj,CR
1,1,6,35,1,0.0014348330150824,1,aj,CR
1,2,6,35,2,0.00117883298662491,1,aj,HI
0,2,5,23,2,0.00118875000043772,1,aj,HI
0,2,1,35,2,0.00144895797711797,1,aj,HI
1,2,2,35,2,0.00119300000369549,1,aj,HI
1,1,3,35,1,0.00117762497393414,1,aj,CR
0,1,3,23,2,0.00117908298852853,0,aj,FA
1,1,1,11,1,0.00113937500282191,1,aj,CR
1,2,5,11,1,0.00119024998275563,0,aj,MI
0,1,4,35,1,0.00113291700836271,1,aj,CR
1,2,5,11,1,0.00121474999468774,0,aj,MI
1,2,4,11,1,0.00116683301166631,0,aj,MI
0,1,6,35,1,0.00119937502313405,1,aj,CR
0,2,3,11,1,0.00130537498625927,0,aj,MI
0,2,3,11,1,0.00120112500735559,0,aj,MI
1,2,4,35,2,0.00114458400639705,1,aj,HI
0,1,4,23,1,0.00116591600817628,1,aj,CR
1,2,2,23,2,0.00121254101395607,1,aj,HI
1,2,4,35,2,0.00129579097847454,1,aj,HI
0,2,6,11,1,0.0011655830021482,0,aj,MI
0,1,3,11,1,0.00150733301416039,1,aj,CR
1,2,6,11,2,0.00133029199787416,1,aj,HI
1,2,4,23,1,0.00356066599488258,0,aj,MI
1,1,3,23,1,0.00120620799134485,1,aj,CR
0,1,2,23,1,0.00134441698901355,1,aj,CR
1,2,1,35,2,0.00118791699060239,1,aj,HI
1,1,4,35,1,0.00135633299942128,1,aj,CR
0,2,6,23,1,0.00118516699876636,0,aj,MI
0,2,5,35,2,0.00116258300840855,1,aj,HI
0,2,6,35,2,0.0011463749979157,1,aj,HI
1,1,6,23,2,0.00115816699690185,0,aj,FA
0,2,4,23,1,0.00115575001109391,0,aj,MI
0,2,1,35,2,0.00117100001079962,1,aj,HI
0,2,3,11,2,0.00119224999798462,1,aj,HI
1,1,6,11,1,0.00116812501801178,1,aj,CR
1,1,2,23,2,0.00117258299724199,0,aj,FA
1,1,1,11,1,0.00116637500468642,1,aj,CR
1,1,1,11,1,0.00115654099499807,1,aj,CR
1,2,4,11,2,0.00117112501175143,1,aj,HI
0,2,5,11,1,0.00117266600136645,0,aj,MI
1,1,5,11,1,0.00136645798920654,1,aj,CR
0,2,6,11,2,0.00116191600682214,1,aj,HI
0,2,3,35,2,0.00118420898797922,1,aj,HI
1,1,1,35,1,0.00121599997510202,1,aj,CR
1,1,1,23,1,0.00119612499838695,1,aj,CR
1,2,3,11,1,0.00120941601926461,0,aj,MI
0,1,6,11,1,0.00116741601959802,1,aj,CR
1,1,5,23,1,0.0011547909816727,1,aj,CR
0,1,5,35,1,0.00122191599803045,1,aj,CR
0,2,3,23,2,0.00135633299942128,1,aj,HI
1,1,3,11,2,0.00143870900501497,0,aj,FA
1,1,6,11,1,0.00120783300371841,1,aj,CR
1,1,4,35,1,0.00119004200678319,1,aj,CR
0,2,2,11,1,0.00115924997953698,0,aj,MI
1,1,3,35,1,0.0012848749756813,1,aj,CR
0,1,6,23,2,0.00116987500223331,0,aj,FA
0,2,1,11,1,0.00119804198038764,0,aj,MI
0,2,4,35,2,0.00116212500142865,1,aj,HI
